URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,68,34,0.33,68.03,12.96,30.160320641282567%,17.25,12.96,301,998,3,1,7.37
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,60,37,0.24,60.06,7.49,25.542570951585976%,13.21,7.49,153,599,2,7,6.82
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,66,36,0.29,66.04,10.13,29.161882893226178%,15.72,10.13,254,871,1,3,7.49
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,70,28,0.43,70.04,7.33,22.301136363636363%,11.85,7.33,157,704,2,18,6.74
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,60,25,0.41,60.03,9.88,26.83544303797468%,14.69,9.88,212,790,3,18,7.16
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,46,23,0.33,46.04,9.21,26.03448275862069%,14.1,9.21,151,580,3,21,7.09
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,27,12,0.38,27.03,7.5,23.768115942028984%,12.51,7.5,82,345,1,7,6.96
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,38,13,0.49,38.04,9.39,12.42603550295858%,8.73,9.39,42,338,3,2,6.66
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,67,41,0.24,67.04,11.91,26.01036269430052%,15.17,11.91,251,965,3,11,6.85
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,51,68,-0.14,51.07,9.34,20.59123343527013%,11.97,9.34,202,981,3,1,6.86
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,36,22,0.24,36.04,10.36,33.878887070376436%,17.7,10.36,207,611,1,10,7.64
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,31,29,0.03,31.05,7.66,22.644628099173552%,12.12,7.66,137,605,1,6,6.75
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,63,24,0.45,63.04,10.41,27.627627627627625%,15.22,10.41,184,666,3,33,7.24
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,26,0,1.0,26.0,11.57,31.57894736842105%,17.26,11.57,84,266,1,0,7.38
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,80,39,0.34,80.05,73.0,25.34246575342466%,39.34,73.0,185,730,2,16,6.88
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,27,0,1.0,27.0,8.41,30.148619957537154%,15.42,8.41,142,471,2,0,7.11
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14,6,0.4,14.02,9.1,35.43956043956044%,17.82,9.1,129,364,2,1,7.72
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,3,4,-0.14,3.03,11.46,26.845637583892618%,15.32,11.46,40,149,2,2,7.21
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,24,68,-0.48,24.1,11.73,26.636225266362253%,15.35,11.73,175,657,2,2,7.05
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,17,14,0.1,17.04,11.3,25.073746312684364%,14.55,11.3,85,339,2,5,6.86
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,59,37,0.23,59.05,7.29,28.921568627450984%,14.48,7.29,236,816,2,10,7.01
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,40,3,0.86,40.01,8.1,27.77777777777778%,14.35,8.1,90,324,2,4,7.17
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,4,1,0.6,4.01,11.06,16.582914572864322%,11.06,11.06,33,199,2,0,6.48
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,30,9,0.54,30.02,11.74,16.1231884057971%,11.15,11.74,89,552,1,4,6.38
64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,25,8,0.52,25.02,14.12,27.43362831858407%,16.62,14.12,93,339,3,1,7.09
65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,15,9,0.25,15.05,5.66,25.609756097560975%,12.51,5.66,42,164,3,0,7.68
66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,5,0,1.0,5.0,7.92,32.631578947368425%,16.22,7.92,31,95,2,2,7.47
67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,22,37,-0.25,22.11,5.91,16.913946587537094%,9.13,5.91,57,337,2,19,6.6
68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,9,2,0.64,9.02,8.8,13.636363636363635%,8.97,8.8,12,88,1,1,6.68
69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,48,19,0.43,48.03,11.06,32.1608040201005%,17.29,11.06,192,597,2,0,7.74
70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,10,18,-0.29,10.07,11.71,33.33333333333333%,18.02,11.71,82,246,1,11,7.04
71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,23,37,-0.23,23.08,8.87,27.54880694143167%,14.57,8.87,127,461,3,7,6.82
72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,25,49,-0.32,25.06,11.33,32.70588235294118%,17.61,11.33,278,850,1,16,7.55
73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,43,22,0.32,43.03,10.69,25.30949105914718%,14.4,10.69,184,727,3,20,6.78
74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,34,25,0.15,34.04,8.01,22.22222222222222%,12.09,8.01,146,657,3,18,6.63
75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,25,7,0.56,25.02,5.34,27.492447129909365%,13.13,5.34,91,331,2,1,7.06
